gps_time,satellite_id,sv_id,pseudorange,doppler_shift,cn0,azimuth,elevation,pseudorange_residual,pseudorange_corrected_cb
1429365601.0,PL01,31,34.987129,0.738,52.21140902027451,,,0.33420370224691065,33.630647187204055
1429365601.0,PL03,33,14.784,9.571,73.5454171197171,,,-0.8892849016315687,12.549827630383225
1429365601.0,PL04,34,4.953,-4.796,64.58312597275125,,,-0.18457353311633518,3.5971792302920367
1429365601.0,G03,3,24466490.661908,1664.836,51.73680303979403,,,6.589821313717523,24466486.05324686
1429365601.0,G09,9,24282344.133555,-398.319,58.31310900978227,,,15.21805315951363,24282327.48113453
1429365601.0,G14,14,20692432.4,-201.019,72.08964625485271,,,6.3843165014173175,20692425.33305237
1429365601.0,G15,15,24879103.259308003,-4070.0,50.85621107999202,,,-69.3603344399248,24879170.119305696
1429365601.0,G18,18,21953136.23,2564.746,74.5218117541173,,,46.460515675344624,21953088.89705633
1429365601.0,G19,19,21607186.344193,-2168.25,55.65367233200453,,,-51.40743959208473,21607235.831884287
1429365601.0,G22,22,23698068.934982,2964.675,60.46074735962574,,,71.11550773794309,23697996.81572684
1429365601.0,G23,23,20732542.111,-1169.601,73.63821323516066,,,-21.68296556433185,20732562.254862472
1429365601.0,G27,27,21297659.399836,1925.162,58.51386374725149,,,23.661635355302252,21297633.93664245
1429365601.0,G28,28,24136664.751032,-2999.839,54.91306822237924,,,-58.42463641872152,24136720.553364076
1429365602.0,PL01,31,36.471766,1.473,51.04636579809042,,,1.8646099102168656,34.8393266046371
1429365602.0,PL03,33,16.661873,9.711,62.29832467503741,,,2.201845101019391,14.151743047816273
1429365602.0,PL04,34,6.167,-7.635,73.04287916239008,,,-0.3364921887542329,4.535221647725084
1429365602.0,G03,3,24466170.489036,1665.549,51.92430988275435,,,2.980491790150348,24466165.61034173
1429365602.0,G09,9,24282420.083147,-400.177,58.655257687476734,,,14.628185830240193,24282403.160680037
1429365602.0,G14,14,20692470.785,-202.402,72.12127055940178,,,6.503801106636468,20692463.450427607
1429365602.0,G15,15,24879877.410173,-4069.343,57.62524867590824,,,-69.35515771138196,24879943.997070935
1429365602.0,G18,18,21952648.288,2563.549,74.64503572243726,,,46.26168842164153,21952600.68558212
1429365602.0,G19,19,21607598.902295,-2167.611,55.80785646680689,,,-51.23139216082817,21607648.121386148
1429365602.0,G22,22,23697504.855655,2963.446,61.106833082543886,,,71.11878373769397,23697432.46501322
1429365602.0,G23,23,20732764.681,-1169.636,72.97803241168936,,,-21.6539169743908,20732784.55695497
1429365602.0,G27,27,21297293.08002,1925.233,60.59932689459943,,,24.04040910226578,21297267.348160364
1429365602.0,G28,28,24137235.081195,-2999.523,60.24618455537522,,,-59.41583224090463,24137290.613990653
