gps_time,satellite_id,sv_id,pseudorange,doppler_shift,cn0,azimuth,elevation,pseudorange_residual,pseudorange_corrected_cb,sat_px,sat_py,sat_pz
1429364551.5,G01,1,23719452.4177416,-3039.00800645351,42.9754604929987,262.6339206936852,15.781662793765848,-0.469555078423582,24097778.286559537,15274110.1643101,-20336275.884265,7613142.93123914
1429364551.5,G02,2,21601268.2461232,-1837.17347681522,45.6099638233004,277.0530161728187,44.457877347427534,0.04192346113268286,21853577.969892826,15923326.8729874,-12527318.3676331,17391079.0135353
1429364551.5,G08,8,20075112.8455401,-926.01403594017,48.3857044845892,290.4220815237611,66.98577381663368,-0.6119917914038524,20537187.09080461,16027137.1383967,-4383432.21130181,20659397.6476098
1429364551.5,G10,10,20698725.849324,849.496573209762,48.6855538434961,76.04459992249834,65.66533328860999,0.8361189417773858,20887863.50666208,13439867.9672668,11294576.2211039,20270745.0649574
1429364551.5,G23,23,22775886.4241343,3131.67460262775,39.1404822272102,47.377842195098594,25.368725209736766,-4.5586270823841915,23223748.133409802,-2775319.73477902,15193437.553058,21620205.9877191
1429364551.5,G27,27,20243050.8230212,1738.72336745262,47.7130316034591,147.85814011980332,67.85708397110449,1.8676940553123131,20543607.7855643,20581948.5291391,8442302.4696369,14500673.5904341
1429364551.5,G32,32,23552397.8599444,-2774.36338365078,36.9526544109054,127.95712709917406,21.005491815975297,-1.9387002609437332,23719904.869579874,16152018.7782785,21150204.1636649,1949655.01813265
1429364551.5,E15,75,23866676.3456678,-1244.5542961359,48.5915921628176,273.1927517221752,55.60640749134313,-0.6010063387220725,24124602.653764255,19399204.1325611,-9898520.64362358,20042014.3144121
1429364551.5,E27,87,24663314.8474594,280.430540442467,46.6734343384226,276.493978824191,44.63068937794225,-0.7102631427114829,24779785.589525096,17653169.3598767,-14255139.7321854,19008511.1581693
1429364551.5,E30,90,25642731.3064759,2736.71932518482,45.4488849930695,207.05236528691577,34.57946868024696,2.1094387151533738,25508662.325122345,29213097.2374425,-3739234.07398458,2998143.7025569
1429364551.5,E34,94,23465324.58162,1102.08988189697,47.0308411522499,54.3150507371458,64.61824123400457,-0.019876031554304063,23721122.091280725,12219198.979041,10947058.3624349,24631902.5704951
1429364551.5,P47,197,-300100858.85288,41.6487455368042,47.255128570147,27.076872800173888,3.4326887826505157,5.860013971207081,30.830945280962624,4181974.5469809985,860788.9951195654,4723078.297309953
1429364551.5,P48,198,-311828.986159575,53.67211997509,31.9368002863403,343.33141196560103,1.5385623019894485,3.8468236227490706,53.0073845355073,4181961.5619398346,860761.7709463257,4723094.471344134
1429364551.5,L01,181,-1471545.19362431,-1033.68423879147,54.1101165097888,354.9747033982517,-1.0250642721403123,-2.9407935696217464,31.985469490638934,4181967.1847583638,860773.7546460353,4723084.870315152
1429364551.5,L02,182,-1471566.23013712,-1029.89375591278,52.7865331238516,322.69229012515194,-2.8600910996478435,-2.711247997045575,11.416856960044242,4181984.869270541,860772.8069231628,4723069.461335714
1429364551.6,G01,1,23719394.3739935,-3046.57034575939,42.9754604929987,262.63436741792617,15.782255083574134,-0.11493810486717848,24097718.88957879,15274094.0458633,-20336176.7231903,7613440.28607658
