gps_time,satellite_id,sv_id,pseudorange,doppler_shift,cn0,azimuth,elevation,pseudorange_residual,pseudorange_corrected_cb,sat_px,sat_py,sat_pz,sat_type,cn0_new,predicted_multipath
1429364552,G01,1,23719452.42,-3039.008006,42.97546049,262.6339207,15.78166279,-0.469555078,24097778.29,15274110.16,-20336275.88,7613142.931,0,42.97546049,0
1429364552,G02,2,21601268.25,-1837.173477,45.60996382,277.0530162,44.45787735,0.041923461,21853577.97,15923326.87,-12527318.37,17391079.01,0,45.60996382,0
1429364552,G08,8,20075112.85,-926.0140359,48.38570448,290.4220815,66.98577382,-0.611991791,20537187.09,16027137.14,-4383432.211,20659397.65,0,48.38570448,0
1429364552,G10,10,20698725.85,849.4965732,48.68555384,76.04459992,65.66533329,0.836118942,20887863.51,13439867.97,11294576.22,20270745.06,0,48.68555384,0
1429364552,G23,23,22775886.42,3131.674603,39.14048223,47.3778422,25.36872521,-4.558627082,23223748.13,-2775319.735,15193437.55,21620205.99,0,39.14048223,1
1429364552,G27,27,20243050.82,1738.723367,47.7130316,147.8581401,67.85708397,1.867694055,20543607.79,20581948.53,8442302.47,14500673.59,0,47.7130316,0
1429364552,G32,32,23552397.86,-2774.363384,36.95265441,127.9571271,21.00549182,-1.938700261,23719904.87,16152018.78,21150204.16,1949655.018,0,36.95265441,1
1429364552,E15,75,23866676.35,-1244.554296,48.59159216,273.1927517,55.60640749,-0.601006339,24124602.65,19399204.13,-9898520.644,20042014.31,-1,48.59159216,0
1429364552,E27,87,24663314.85,280.4305404,46.67343434,276.4939788,44.63068938,-0.710263143,24779785.59,17653169.36,-14255139.73,19008511.16,-1,46.67343434,0
1429364552,E30,90,25642731.31,2736.719325,45.44888499,207.0523653,34.57946868,2.109438715,25508662.33,29213097.24,-3739234.074,2998143.703,-1,45.44888499,0
1429364552,E34,94,23465324.58,1102.089882,47.03084115,54.31505074,64.61824123,-0.019876032,23721122.09,12219198.98,10947058.36,24631902.57,-1,47.03084115,0
1429364552,P47,197,-300100858.9,41.64874554,47.25512857,27.0768728,3.432688783,5.860013971,30.83094528,4181974.547,860788.9951,4723078.297,1,47.25512857,0
